IF,Sesion,Grupo,PPR,Sujeto,,Promedio,18.00083839,,Claves IF,Promedio en cada IF
E,1,B,38.04918019,101,,,,,,
E,1,B,23.67540981,103,,Grupo A,19.28524591,,C = 15 s,9.190558212
E,1,B,20.05737704,105,,Grupo B,16.72810729,,D = 30 s,15.89907103
E,1,B,22.27540987,107,,A - B,2.557138617,,E = 60 s,28.27731558
E,1,B,31.90491795,109,,,,,,
E,1,B,21.71147525,1011,,,,,Pendientes,
E,1,B,28.42622957,1013,,,,,15s - 30s,-6.708512813
E,1,B,17.68688524,1015,,,,,15s - 60s,-19.08675737
E,2,B,37.02950817,101,,,,,,
E,2,B,18.9295083,103,,,,,,
E,2,B,21.62295085,105,,,,,,
E,2,B,22.29180341,107,,,,,,
E,2,B,38.652459,109,,,,,,
E,2,B,23.94590166,1011,,,,,,
E,2,B,28.44426219,1013,,,,,,
E,2,B,42.5819674,1015,,,,,,
E,3,B,38.66557383,101,,,,,,
E,3,B,19.54754095,103,,,,,,
E,3,B,22.35573755,105,,,,,,
E,3,B,21.56393432,107,,,,,,
E,3,B,33.84426206,109,,,,,,
E,3,B,25.56721307,1011,,,,,,
E,3,B,26.54754098,1013,,,,,,
E,3,B,27.63278674,1015,,,,,,
E,4,B,35.25081963,101,,,,,,
E,4,B,22.0163934,103,,,,,,
E,4,B,22.73442625,105,,,,,,
E,4,B,26.04426233,107,,,,,,
E,4,B,33.99508207,109,,,,,,
E,4,B,21.89344264,1011,,,,,,
E,4,B,28.46885242,1013,,,,,,
E,4,B,33.27868861,1015,,,,,,
E,5,B,38.80327875,101,,,,,,
E,5,B,20.13114743,103,,,,,,
E,5,B,24.01803284,105,,,,,,
E,5,B,29.5114753,107,,,,,,
E,5,B,28.87213123,109,,,,,,
E,5,B,23.3131147,1011,,,,,,
E,5,B,29.50491822,1013,,,,,,
E,5,B,32.3393443,1015,,,,,,
E,1,A,24.64918022,102,,,,,,
E,1,A,28.87049159,104,,,,,,
E,1,A,26.20983617,106,,,,,,
E,1,A,32.24098365,1010,,,,,,
E,1,A,29.7622951,1017,,,,,,
E,1,A,38.07868853,1018,,,,,,
E,1,A,13.23442627,1019,,,,,,
E,1,A,24.43934429,1020,,,,,,
E,2,A,22.54590164,102,,,,,,
E,2,A,30.70327886,104,,,,,,
E,2,A,30.39508216,106,,,,,,
E,2,A,31.18196727,1010,,,,,,
E,2,A,31.56721295,1017,,,,,,
E,2,A,38.57213113,1018,,,,,,
E,2,A,15.86721298,1019,,,,,,
E,2,A,29.21967208,1020,,,,,,
E,3,A,24.68524601,102,,,,,,
E,3,A,33.5327869,104,,,,,,
E,3,A,31.39999994,106,,,,,,
E,3,A,37.36557395,1010,,,,,,
E,3,A,27.14098366,1017,,,,,,
E,3,A,39.30655738,1018,,,,,,
E,3,A,16.07540987,1019,,,,,,
E,3,A,27.20491802,1020,,,,,,
E,4,A,22.06393454,102,,,,,,
E,4,A,32.48688543,104,,,,,,
E,4,A,31.99180344,106,,,,,,
E,4,A,33.50983595,1010,,,,,,
E,4,A,26.49672121,1017,,,,,,
E,4,A,41.73442611,1018,,,,,,
E,4,A,18.86557375,1019,,,,,,
E,4,A,30.49344277,1020,,,,,,
E,5,A,20.79344258,102,,,,,,
E,5,A,28.10327846,104,,,,,,
E,5,A,36.97377054,106,,,,,,
E,5,A,36.2622953,1010,,,,,,
E,5,A,23.45409841,1017,,,,,,
E,5,A,41.01311484,1018,,,,,,
E,5,A,20.18852461,1019,,,,,,
E,5,A,30.31967226,1020,,,,,,
D,1,B,19.10819663,201,,,,,,
D,1,B,6.344262266,203,,,,,,
D,1,B,16.46721304,205,,,,,,
D,1,B,17.09836064,207,,,,,,
D,1,B,10.71967212,209,,,,,,
D,1,B,14.25737701,2011,,,,,,
D,2,B,19.82786885,201,,,,,,
D,2,B,6.985245904,203,,,,,,
D,2,B,14.58524592,205,,,,,,
D,2,B,18.4819671,207,,,,,,
D,2,B,11.03114758,209,,,,,,
D,2,B,12.37704915,2011,,,,,,
D,3,B,22.19344281,201,,,,,,
D,3,B,5.731147531,203,,,,,,
D,3,B,14.53114748,205,,,,,,
D,3,B,19.38852459,207,,,,,,
D,3,B,12.1196721,209,,,,,,
D,3,B,13.58688529,2011,,,,,,
D,4,B,23.38196728,201,,,,,,
D,4,B,8.347540953,203,,,,,,
D,4,B,14.04098353,205,,,,,,
D,4,B,17.2131147,207,,,,,,
D,4,B,12.30983608,209,,,,,,
D,4,B,14.59672125,2011,,,,,,
D,5,B,23.18688507,201,,,,,,
D,5,B,6.945901621,203,,,,,,
D,5,B,14.32295073,205,,,,,,
D,5,B,18.59508198,207,,,,,,
D,5,B,11.76065575,209,,,,,,
D,5,B,15.36557379,2011,,,,,,
D,1,A,17.31803285,202,,,,,,
D,1,A,19.72131153,204,,,,,,
D,1,A,16.47868849,206,,,,,,
D,1,A,18.53770491,208,,,,,,
D,1,A,17.15409845,2012,,,,,,
D,1,A,15.37377055,2016,,,,,,
D,2,A,16.93278695,202,,,,,,
D,2,A,17.70983607,204,,,,,,
D,2,A,20.09016387,206,,,,,,
D,2,A,17.71967216,208,,,,,,
D,2,A,15.57377047,2012,,,,,,
D,2,A,13.31475412,2016,,,,,,
D,3,A,17.2032787,202,,,,,,
D,3,A,19.44754091,204,,,,,,
D,3,A,20.13114743,206,,,,,,
D,3,A,17.29672124,208,,,,,,
D,3,A,17.23606562,2012,,,,,,
D,3,A,14.38196715,2016,,,,,,
D,4,A,17.94918027,202,,,,,,
D,4,A,18.55081972,204,,,,,,
D,4,A,20.97213105,206,,,,,,
D,4,A,16.91967212,208,,,,,,
D,4,A,14.98852471,2012,,,,,,
D,4,A,12.88032786,2016,,,,,,
D,5,A,19.5196721,202,,,,,,
D,5,A,20.45409825,204,,,,,,
D,5,A,19.73770488,206,,,,,,
D,5,A,16.39672128,208,,,,,,
D,5,A,16.17049183,2012,,,,,,
D,5,A,12.88196724,2016,,,,,,
C,1,B,7.272131142,301,,,,,,
C,1,B,5.439344262,303,,,,,,
C,1,B,5.465573747,305,,,,,,
C,1,B,5.490163913,307,,,,,,
C,1,B,10.39672132,309,,,,,,
C,1,B,9.886885266,3011,,,,,,
C,1,B,8.30983604,3017,,,,,,
C,1,B,5.370491819,3019,,,,,,
C,2,B,7.680327886,301,,,,,,
